region,rajon,title,amount,period,month
Минская,Пуховичский,Пуховичский район,6176.4,2,Март
Минская,Слуцкий,Слуцкий район,5595.6,2,Март
Минская,Смолевичский,Смолевичский район,6896.1,2,Март
Минская,Солигорский,Солигорский район,10405.6,2,Март
Минская,Стародорожский,Стародорожский район,5238.5,2,Март
Минская,Столбцовский,Столбцовский район,5938.2,2,Март
Минская,Узденский,Узденский район,5761.6,2,Март
Минская,Червенский,Червенский район,5337.3,2,Март
Брестская,Всего,Брестская область,5995.2,2,Март
Брестская,Брест,Брест,7008.2,2,Март
Брестская,Барановичи,Барановичи,6128.1,2,Март
Брестская,Пинск,Пинск,5647,2,Март
Брестская,Барановичский,Барановичский район,5678.3,2,Март
Брестская,Березовский,Березовский район,6197.4,2,Март
Брестская,Брестский,Брестский район,5693.8,2,Март
Брестская,Ганцевичский,Ганцевичский район,4816.4,2,Март
Брестская,Дрогичинский,Дрогичинский район,4961.7,2,Март
Брестская,Жабинковский,Жабинковский район,5869.6,2,Март
Брестская,Ивановский,Ивановский район,5322.4,2,Март
Брестская,Ивацевичский,Ивацевичский район,5467,2,Март
Брестская,Каменецкий,Каменецкий район,5609.1,2,Март
Брестская,Кобринский,Кобринский район,5684.7,2,Март
Брестская,Лунинецкий,Лунинецкий район,5659.7,2,Март
Брестская,Ляховичский,Ляховичский район,5307,2,Март
Брестская,Малоритский,Малоритский район,4940.1,2,Март
Брестская,Пинский,Пинский район,4959.9,2,Март
Брестская,Пружанский,Пружанский район,5803.2,2,Март
Брестская,Столинский,Столинский район,4615.9,2,Март
Витебская,Всего,Витебская область,5961.1,2,Март
Витебская,Витебск,Витебск,6580.2,2,Март
Витебская,Новополоцк,Новополоцк,7962,2,Март
Витебская,Бешенковичский,Бешенковичский район,4625.3,2,Март
Витебская,Браславский,Браславский район,4496.8,2,Март
Витебская,Верхнедвинский,Верхнедвинский район,5340.1,2,Март
Витебская,Витебский,Витебский район,5522.3,2,Март
Витебская,Глубокский,Глубокский район,5015.2,2,Март
Витебская,Городокский,Городокский район,4758.4,2,Март
Витебская,Докшицкий,Докшицкий район,4953.5,2,Март
Витебская,Дубровенский,Дубровенский район,5135.4,2,Март
Витебская,Лепельский,Лепельский район,5179.8,2,Март
Витебская,Лиозненский,Лиозненский район,4540,2,Март
Витебская,Миорский,Миорский район,4628.9,2,Март
